Indicator,Group,State,Subgroup,Phase,Time_Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low_CI,High_CI,Confidence Interval,Quartile Range
Symptoms of Depressive Disorder,By State,Alabama,Alabama,1,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,32.7,27.7,38.0,27.7 - 38.0,32.3-38.6
Symptoms of Depressive Disorder,By State,Alaska,Alaska,1,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,27.4,22.9,32.2,22.9 - 32.2,26.0-29.3
Symptoms of Depressive Disorder,By State,Arizona,Arizona,1,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,34.3,29.9,38.9,29.9 - 38.9,32.3-38.6
Symptoms of Depressive Disorder,By State,Arkansas,Arkansas,1,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,33.7,29.8,37.8,29.8 - 37.8,32.3-38.6
Symptoms of Depressive Disorder,By State,California,California,1,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,31.2,28.2,34.3,28.2 - 34.3,29.4-32.2
Symptoms of Depressive Disorder,By State,Colorado,Colorado,1,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,29.1,24.3,34.4,24.3 - 34.4,26.0-29.3
Symptoms of Depressive Disorder,By State,Connecticut,Connecticut,1,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,25.9,21.9,30.3,21.9 - 30.3,20.5-25.9
Symptoms of Depressive Disorder,By State,Delaware,Delaware,1,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,26.5,21.2,32.3,21.2 - 32.3,26.0-29.3
Symptoms of Depressive Disorder,By State,District of Columbia,District of Columbia,1,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,23.8,17.7,30.8,17.7 - 30.8,20.5-25.9
Symptoms of Depressive Disorder,By State,Florida,Florida,1,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,30.7,27.1,34.4,27.1 - 34.4,29.4-32.2
Symptoms of Depressive Disorder,By State,Georgia,Georgia,1,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,29.7,25.3,34.4,25.3 - 34.4,29.4-32.2
Symptoms of Depressive Disorder,By State,Hawaii,Hawaii,1,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,29.3,24.8,34.1,24.8 - 34.1,26.0-29.3
Symptoms of Depressive Disorder,By State,Idaho,Idaho,1,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,34.2,29.8,38.9,29.8 - 38.9,32.3-38.6
Symptoms of Depressive Disorder,By State,Illinois,Illinois,1,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,29.5,25.6,33.7,25.6 - 33.7,29.4-32.2
Symptoms of Depressive Disorder,By State,Indiana,Indiana,1,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,32.0,28.2,36.1,28.2 - 36.1,29.4-32.2
Symptoms of Depressive Disorder,By State,Iowa,Iowa,1,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,25.3,20.4,30.7,20.4 - 30.7,20.5-25.9
Symptoms of Depressive Disorder,By State,Kansas,Kansas,1,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,30.5,26.6,34.5,26.6 - 34.5,29.4-32.2
Symptoms of Depressive Disorder,By State,Kentucky,Kentucky,1,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,30.6,25.9,35.6,25.9 - 35.6,29.4-32.2
Symptoms of Depressive Disorder,By State,Louisiana,Louisiana,1,12,July 16 - July 21,07/16/2020 12:00:00 AM,07/21/2020 12:00:00 AM,31.7,26.7,37.1,26.7 - 37.1,29.4-32.2
